Course_ID,Course_Name,Duration,Course_Type,Capacity,Weekdays,Duration_Minutes,Section
CC141,Discrete Structures,1 hour 15 minutes,Core,50,2,75,"V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26"
CC112,Object Oriented Programming,1 hour 15 minutes,Core,50,2,75,"V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26"
CC112L,Object Oriented Programming Lab,2 hours 30 minutes,Lab,50,1,150,"V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26"
CC121,Digital Logic Design,1 hour 15 minutes,Core,50,2,75,"V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26"
CC121L,Digital Logic Design Lab,2 hours 30 minutes,Lab,50,1,150,"V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26"
CS245,Computer Architecture,1 hour 15 minutes,Core,50,2,75,"V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26"
CC251,Computer Networks,1 hour 15 minutes,Core,50,2,75,"V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26"
CC251L,Computer Networks Lab,2 hours 30 minutes,Lab,50,1,150,"V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26"
CC230,Database Systems,1 hour 15 minutes,Core,50,2,75,"V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26"
CC230L,Database Systems Lab,2 hours 30 minutes,Lab,50,1,150,"V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26"
